Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating,Volume 1 minute,Float shares outstanding
ZICX,Zicix Corporation,0.0009,USD,28.57142857142857,3097200,9.307595102183102,13489.999999999998,USD,,-0.0001,USD,75,0,Technology services,,210000,
HYHY,HYDROGEN HYBRID TECHNOLOGIES INC,0.0001,USD,100,113197,12.45387433575743,9374.999999999998,USD,,,,,,Health technology,,3103,
GRSO,"Grow Solutions Holdings, Inc.",0.000001,USD,0,5000000,29.96960482678467,9211.98,USD,,,,,0,Miscellaneous,,5000000,9006856841.34
SAGD,SOUTH AMERICAN GOLD CORP,0.00001,USD,900,500000,15.98864166895837,6773,USD,,,,,,Process industries,,500000,
GEMZ,GEMXX CORP.,0.021,USD,-0.4739336492890966,200000,6.774700558235327,4647,USD,,,,,,Technology services,,100000,
PLYN,Palayan Res Inc.,0.0001,USD,0,103090,11.305959509552324,3738,USD,,,,,,Non-energy minerals,,3000,
MDMN,"Medinah Minerals, Inc.",0.000001,USD,0,2590594,9.802077488277096,2882,USD,,,,,,Non-energy minerals,,2590594,
MILC,Millennium Sustainable Ventures Corp.,0.0001,USD,0,163257,5.098276185122728,1100,USD,,,,,0,Process industries,,163257,8155515.7151999995
CLTS,Earth Life Sciences Inc.,0.000001,USD,0,204990,8.273565677153755,1000,USD,,,,,,Non-energy minerals,,204990,
CLIS,ClickStream Corporation,0.000001,USD,0,187000,6.698499464478251,343,USD,,,,,,Miscellaneous,,2000,
CACH,CACHE INC,0.000001,USD,0,2432067,21.64615737889344,31,USD,,,,,,Retail trade,,2432067,
CFRXQ,ContraFect Corporation,0.000001,USD,-99.66666666666666,182969,17.47872106686027,11,USD,,,,,0,Health technology,,182844,10703183.5752
BMXC,Bemax Inc.,0.0053,USD,-22.05882352941176,304053,12.79189034548912,3.1176470588235294,USD,,-0.0001,USD,99.9627004848937,0,Retail trade,,10000,557.5000600000001
ZHUD,Zhuding International Limited,0.0046,USD,-9.803921568627459,275000,8.248350329934013,,,,,,,,Non-energy minerals,,3500,
MNFSF,MANIFESTSEVEN HOLDINGS CORPORATION,0.000001,USD,0,157000,5.569884309600423,,,,,,,,Commercial services,,157000,
ALIF,ARTIFICIAL LIFE INC,0.000001,USD,-89.99999999999999,136833,5.443771209872811,,,,,,,,Commercial services,,123600,
CBKCQ,CHRISTOPHER & BANKS CORP,0.0001,USD,0,119747,20.007184388157455,,,,,,,,Retail trade,,35000,
